"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1285","After successful payment the cart should be empty (one item in the cart)","","Mon Jun 02 13:10:45 GMT 2025","passed","Mon Jun 02 13:10:46 GMT 2025","","Verify successful payment clear the cart","",""
"","959","Should show and hide lucky day popup correctly","","Mon Jun 02 13:10:53 GMT 2025","passed","Mon Jun 02 13:10:54 GMT 2025","","Lucky Day Popup Tests","",""
"","1052","visits the app","","Mon Jun 02 13:10:42 GMT 2025","passed","Mon Jun 02 13:10:43 GMT 2025","","My First Test","",""
"","1858","should reject invalid email formats and keep payment modal visible","","Mon Jun 02 13:10:49 GMT 2025","passed","Mon Jun 02 13:10:51 GMT 2025","","Verify Invalid Email Formats In Payment Form","",""
"","1385","After successful payment the cart should be empty (three items in the cart)","","Mon Jun 02 13:10:46 GMT 2025","passed","Mon Jun 02 13:10:47 GMT 2025","","Verify successful payment clear the cart","",""
"","355","Verify order button restriction with empty cart","","Mon Jun 02 13:10:35 GMT 2025","passed","Mon Jun 02 13:10:35 GMT 2025","","Increase Items in Cart","",""
"","642","Verify that user can increase the number of items in the Cart","","Mon Jun 02 13:10:32 GMT 2025","passed","Mon Jun 02 13:10:33 GMT 2025","","Increase Items in Cart","",""
"","685","Verify Pop-up Cart Functioning With Plus And Minus Buttons","","Mon Jun 02 13:10:56 GMT 2025","passed","Mon Jun 02 13:10:56 GMT 2025","","[TC7] Verification of pop-up cart functioning (buttons +/-)","",""
"","1691","Verify that user can decrease the number of items in the Cart","","Mon Jun 02 13:10:29 GMT 2025","passed","Mon Jun 02 13:10:30 GMT 2025","","Decrease Items in Cart","",""
"","1333","should submit payment form with valid inputs","","Mon Jun 02 13:10:37 GMT 2025","passed","Mon Jun 02 13:10:38 GMT 2025","","Verify Payment Form Accepts Valid Inputs","",""
